scientificName,decimalLatitude,decimalLongitude,eventDate,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,basisOfRecord,sst_mean,salinity_mean,depth_m,presence
Undaria pinnatifida f. pinnatifida,45.32,141.05,2005-05-21,,,,PreservedSpecimen,10.479645861219922,33.538725596982545,,1
Saccharina japonica var. ochotensis,45.32,141.05,2005-05-21,,,,PreservedSpecimen,10.479645861219922,33.538725596982545,,1
Saccharina japonica var. ochotensis,45.32,141.05,2005-05-21,,,,PreservedSpecimen,10.479645861219922,33.538725596982545,,1
Costaria costata,45.32,141.05,2005-05-21,,,,PreservedSpecimen,10.479645861219922,33.538725596982545,,1
Undaria pinnatifida f. pinnatifida,45.12,141.18,2005-05-22,,,,PreservedSpecimen,10.634725393608802,33.44708927111938,,1
Costaria costata,45.12,141.18,2005-05-22,,,,PreservedSpecimen,10.634725393608802,33.44708927111938,,1
Saccharina japonica var. ochotensis,44.42,141.4,2005-06-18,,,,PreservedSpecimen,11.440777173727046,33.53877959873812,,1
Costaria costata,44.43,141.42,2005-06-18,,,,PreservedSpecimen,11.43701030153681,33.503996097729974,,1
Undaria pinnatifida f. pinnatifida,44.42,141.4,2005-06-18,,,,PreservedSpecimen,11.440777173727046,33.53877959873812,,1
Costaria costata,45.28,141.02,1969-08-15,,,,PreservedSpecimen,10.595252970995617,33.5722204176049,,1
Costaria costata,43.2,140.85,1931-06-06,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. japonica,42.3,140.95,1963-03-09,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Undaria pinnatifida f. pinnatifida,43.07,140.47,1997-03-21,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Undaria pinnatifida f. pinnatifida,43.07,140.47,1997-06-04,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Costaria costata,43.07,140.47,1997-03-21,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Saccharina japonica var. religiosa,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Saccharina japonica var. religiosa,43.07,140.47,1997-06-04,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Saccharina japonica var. religiosa,43.07,140.47,1997-08-08,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Undaria pinnatifida f. pinnatifida,41.25,140.33,1980-04-13,,,,PreservedSpecimen,16.321324967425934,33.62168252018429,,1
Undaria pinnatifida f. pinnatifida,41.25,140.33,1980-04-13,,,,PreservedSpecimen,16.321324967425934,33.62168252018429,,1
Undaria pinnatifida f. pinnatifida,45.12,141.18,1953-08-02,,,,PreservedSpecimen,10.634725393608802,33.44708927111938,,1
Undaria pinnatifida f. pinnatifida,45.17,141.13,1953-08-03,,,,PreservedSpecimen,10.667845699350964,33.50461429924039,,1
Undaria pinnatifida f. pinnatifida,45.25,141.2,1969-08-17,,,,PreservedSpecimen,10.454883591072416,33.477680494213935,,1
Saccharina japonica var. ochotensis,45.45,140.95,1970-04-25,,,,PreservedSpecimen,10.47362541130787,33.66239556439182,,1
Undaria pinnatifida f. pinnatifida,44.42,141.28,1965-04-19,,,,PreservedSpecimen,11.458959367421643,33.62328494166043,,1
